vote_id,vote_date,vote_title,vote_legal_type,vote_result,bill_id
493,2003-02-09,Bundesbeschluss über die Änderung der Volksrechte,1,1,19990436-1
499,2003-05-18,Volksinitiative «Gesundheit muss bezahlbar bleiben»,3,0,20000046-1
503,2003-05-18,Volksinitiative «für ein ausreichendes Berufsbildungsangebot»,3,0,20000086-1
495,2003-05-18,Bundesgesetz über die Armee und die Militärverwaltung (Armee XXI),2,1,20010065-1
502,2003-05-18,Volksinitiative «MoratoriumPlus - Für die Verlängerung des Atomkraftwerk-Baustopps und die Begrenzung des Atomrisikos»,3,0,20010022-1
500,2003-05-18,Volksinitiative «Gleiche Rechte für Behinderte»,3,0,20000094-1
497,2003-05-18,Volksinitiative «Ja zu fairen Mieten»,3,0,19990076-1
496,2003-05-18,Bundesgesetz über den Bevölkerungsschutz und den Zivilschutz,2,1,20010062-1
501,2003-05-18,Volksinitiative «Strom ohne Atom - Für eine Energiewende und die schrittweise Stilllegung der Atomkraftwerke»,3,0,20010022-2
498,2003-05-18,Volksinitiative «für einen autofreien Sonntag pro Jahreszeit - ein Versuch für vier Jahre»,3,0,19990094-1
505,2004-02-08,Obligationenrecht (Miete). Änderung,2,0,19990076-2
504,2004-02-08,Gegenentwurf zur Volksinitiative «Avanti - für sichere und leistungsfähige Autobahnen»,4,0,20020040-1
506,2004-02-08,"Volksinitiative «Lebenslange Verwahrung für nicht therapierbare, extrem gefährliche Sexual- und Gewaltstraftäter»",3,1,20010025-1
509,2004-05-16,"Bundesgesetz über die Änderung von Erlassen im Bereich der Ehe- und Familienbesteuerung, der Wohneigentumsbesteuerung und der Stempelabgaben",2,0,20010021-1
508,2004-05-16,Bundesbeschluss über die Finanzierung der AHV/IV durch Anhebung der Mehrwertsteuersätze,1,0,20000014-1
507,2004-05-16,Bundesgesetz über die Alters- und Hinterlassenenversicherung (11. AHV-Revision),2,0,20000014-2
513,2004-09-26,"Bundesgesetz über die Erwerbsersatzordnung für Dienstleistende in Armee, Zivildienst und Zivilschutz (Erwerbsersatzgesetz, EOG)",2,1,20010426-1
510,2004-09-26,Bundesbeschluss über die ordentliche Einbürgerung sowie über die erleichterte Einbürgerung junger Ausländerinnen und Ausländer der zweiten Generation,1,0,20010076-1
512,2004-09-26,Volksinitiative 'Postdienst für alle',3,0,20030026-1
511,2004-09-26,Bundesbeschluss über den Bürgerrechtserwerb von Ausländerinnen und Ausländern der dritten Generation,1,0,20010076-3
515,2004-11-28,Bundesbeschluss über eine neue Finanzordnung,1,1,20020078-1
514,2004-11-28,Bundesbeschluss zur Neugestaltung des Finanzausgleichs und der Aufgabenteilung zwischen Bund und Kantonen (NFA),1,1,20010074-1
516,2004-11-28,Bundesgesetz über die Forschung an embryonalen Stammzellen,2,1,20020083-1
518,2005-06-05,"Bundesgesetz über die eingetragene Partnerschaft gleichgeschlechtlicher Paare (Partnerschaftsgesetz, PartG)",2,1,20020090-1
517,2005-06-05,Bundesbeschluss über die Genehmigung und die Umsetzung der bilateralen Abkommen zwischen der Schweiz und der EU über die Assoziierung an Schengen und Dublin,2,1,20040063-6
519,2005-09-25,Bundesbeschluss über die Ausdehnung des Personenfreizügigkeitsabkommens auf die neuen EU-Staaten und über die Revision der flankierenden Massnahmen,2,1,20040066-1
520,2005-11-27,Volksinitiative «für Lebensmittel aus gentechnikfreier Landwirtschaft»,3,1,20040054-1
521,2005-11-27,Arbeitsgesetz (Ladenöffnungszeiten in Zentren des öffentlichen Verkehrs),2,1,20020422-1
522,2006-05-21,Bundesbeschluss über die Neuordnung der Verfassungsbestimmungen zur Bildung,1,1,19970419-1
524,2006-09-24,Bundesgesetz über die Ausländerinnen und Ausländer,2,1,20020024-1
523,2006-09-24,Volksinitiative «Nationalbankgewinne für die AHV»,3,0,20030049-2
525,2006-09-24,Änderung des Asylgesetzes,2,1,20020060-1
526,2006-11-26,Bundesgesetz über die Zusammenarbeit mit den Staaten Osteuropas,2,1,20040021-1
527,2006-11-26,Bundesgesetz über die Familienzulagen,2,1,19910411-1
528,2007-03-11,Volksinitiative «Für eine soziale Einheitskrankenkasse»,3,0,20050089-1
529,2007-06-17,Bundesgesetz über die Invalidenversicherung,2,1,20050052-1
531,2008-02-24,Bundesgesetz über die Verbesserung der steuerlichen Rahmenbedingungen für unternehmerische Tätigkeiten und Investitionen,2,1,20050058-1
530,2008-02-24,Volksinitiative «Gegen Kampfjetlärm in Tourismusgebieten»,3,0,20060073-1
534,2008-06-01,Verfassungsartikel «Für Qualität und Wirtschaftlichkeit in der Krankenversicherung»,4,0,20050055-1
532,2008-06-01,Volksinitiative «Für demokratische Einbürgerungen»,3,0,20060086-1
533,2008-06-01,Volksinitiative «Volkssouveränität statt Behördenpropaganda»,3,0,20050054-1
538,2008-11-30,Volksinitiative «für eine vernünftige Hanf-Politik mit wirksamem Jugendschutz»,3,0,20060106-1
537,2008-11-30,Volksinitiative «Verbandsbeschwerderecht: Schluss mit der Verhinderungspolitik - Mehr Wachstum für die Schweiz!»,3,0,20070046-1
535,2008-11-30,Volksinitiative «für die Unverjährbarkeit pornografischer Straftaten an Kindern»,3,1,20070063-1
539,2008-11-30,Bundesgesetz über die Betäubungsmittel und psychotropen Stoffe,2,1,20050470-1
536,2008-11-30,Volksinitiative «für ein flexibles AHV-Alter»,3,0,20060107-1
540,2009-02-08,Bundesbeschluss über die Genehmigung der Weiterführung des Freizügigkeitsabkommens zwischen der Schweiz und der Europäischen Gemeinschaft sowie über die Genehmigung des Protokolls über die Ausdehnung des Abkommens auf Bulgarien und Rumänien,2,1,20080029-1
541,2009-05-17,Verfassungsartikel «Zukunft mit Komplementärmedizin» (Gegenentwurf zur Volksinitiative «Ja zur Komplementärmedizin»),4,1,20060066-1
542,2009-05-17,Bundesbeschluss über die Genehmigung und Umsetzung des Notenaustauschs zwischen der Schweiz und der EG betreffend die Übernahme der Verordnung über biometrische Pässe und Reisedokumente,2,1,20070039-1
544,2009-09-27,Bundesbeschluss über den Verzicht auf die Einführung der allgemeinen Volksinitiative,1,1,20060458-1
543,2009-09-27,Bundesbeschluss über eine befristete Zusatzfinanzierung der Invalidenversicherung durch Anhebung der Mehrwertsteuersätze,1,1,20050053-1
547,2009-11-29,Volksinitiative «Gegen den Bau von Minaretten»,3,1,20080061-1
545,2009-11-29,Bundesbeschluss zur Schaffung einer Spezialfinanzierung für Aufgaben im Luftverkehr,1,1,20070066-1
546,2009-11-29,Volksinitiative «Für ein Verbot von Kriegsmaterial-Exporten»,3,0,20080060-1
550,2010-03-07,"Bundesgesetz über die berufliche Alters-, Hinterlassenen- und Invalidenvorsorge (BVG) (Mindestumwandlungssatz)",2,0,20060092-1
548,2010-03-07,Verfassungsartikel über die Forschung am Menschen,1,1,20070072-1
549,2010-03-07,Volksinitiative «Gegen Tierquälerei und für einen besseren Rechtsschutz der Tiere»,3,0,20080036-1
551,2010-09-26,"Bundesgesetzes über die obligatorische Arbeitslosenversicherung und die Insolvenzentschädigung (Arbeitslosenversicherungsgesetz, AVIG)",2,1,20080062-1
