preparl_phases_id,bill_id,preparl_phases_type,preparl_phases_order,preparl_phases_start_date,preparl_phases_end_state,preparl_phases_count
1042,20120092-1,04,1,2012-10-24,2012-11-05,1
1369,20120095-1,04,1,2012-05-09,2012-09-10,1
1908,20120095-2,04,1,2012-05-09,2012-09-10,1
1897,20120096-1,05,1,2012-08-28,2012-10-01,1
1422,20120099-1,04,1,2012-09-21,2012-10-25,1
1092,20120100-1,03,1,NA,2008-09-15,2
1093,20120100-1,04,2,2010-12-22,2011-04-15,2
964,20120101-1,05,1,2012-11-16,2012-11-26,1
1370,20120400-1,04,1,2012-09-28,2013-01-31,1
1371,20120434-2,01,1,2013-10-18,NA,1
1909,20130008-1,05,1,NA,NA,1
1910,20130008-2,05,1,NA,NA,1
1108,20130013-1,04,1,2011-04-01,2011-05-30,1
965,20130017-1,04,1,2011-10-12,2012-01-31,1
1911,20130022-1,03,1,NA,NA,1
1198,20130026-1,04,1,2012-06-27,2012-10-19,1
1111,20130027-1,04,1,2012-11-14,2013-01-13,1
966,20130029-1,04,1,2011-06-29,2011-10-21,1
1112,20130031-1,04,1,2012-06-27,2012-10-18,1
1373,20130032-1,04,1,2013-02-14,2013-03-15,1
1423,20130032-2,04,1,2013-02-14,2013-03-15,1
1328,20130034-1,04,1,2012-03-16,2012-09-06,1
1199,20130038-1,03,1,2010-02-15,NA,2
1200,20130038-1,04,2,2011-11-09,2012-04-13,2
1374,20130045-1,04,1,2012-09-21,2012-12-21,1
1913,20130045-2,04,1,2012-09-21,2012-12-21,1
1375,20130048-1,04,1,2012-05-09,2012-08-29,1
1201,20130049-1,03,1,2007-06-30,2009-05-15,3
1202,20130049-1,04,2,2009-12-16,2010-03-31,3
1203,20130049-1,02,3,2010-10-20,2013-03-21,3
1376,20130050-1,02,1,2009-12-08,2010-09-30,3
1377,20130050-1,01,2,2011-05-05,2011-05-06,3
1378,20130050-1,04,3,2011-09-16,2011-12-20,3
1914,20130050-2,02,1,2009-12-08,2010-09-30,3
1915,20130050-2,01,2,2011-05-05,2011-05-06,3
1916,20130050-2,04,3,2011-09-16,2011-12-20,3
